1,1,17,22
2,3,2,7
3,2,16,10
4,2,14,20
5,1,14,28
6,1,22,15
7,1,15,2
8,1,13,26
9,1,30,22
10,1,2,7
11,3,16,22
12,2,20,29
13,2,7,1
14,1,14,20
15,3,20,19
16,2,2,7
17,2,18,2
18,2,11,32
19,3,28,25
20,1,21,18
21,1,6,8
22,2,5,3
23,1,5,23
24,3,3,26
25,3,3,6
26,2,1,29
27,2,28,12
28,3,16,12
29,1,7,31
30,1,7,9
31,2,8,6
32,2,23,14
33,1,22,8
34,1,11,3
35,2,30,27
36,1,12,32
37,2,2,5
38,2,15,4
39,2,5,5
40,2,6,36
41,2,8,26
42,3,9,18
43,2,10,2
44,2,18,26
45,2,21,30
46,3,6,23
47,3,29,35
48,2,15,14
49,2,6,25
50,2,17,24
51,2,7,5
52,2,7,26
53,1,22,26
54,2,12,17
55,2,22,30
56,3,9,12
57,2,15,14
58,2,27,19
59,1,17,17
60,2,17,26
61,3,23,15
62,2,4,34
63,2,26,31
64,3,27,18
65,3,13,12
66,1,21,23
67,2,22,5
68,3,17,21
69,1,8,7
70,3,3,32
71,3,8,29
72,2,4,13
73,2,11,21
74,1,22,18
75,1,20,19
76,2,8,1
77,3,3,7
78,2,11,32
79,1,21,33
80,2,29,34
81,1,30,10
82,3,4,27
83,1,17,9
84,2,9,29
85,1,23,3
86,1,3,16
87,2,6,29
88,3,7,24
89,2,1,18
90,3,19,17
91,3,23,16
92,3,27,7
93,1,28,8
94,1,12,5
95,2,18,29
96,3,24,26
97,3,8,30
98,1,3,6
99,3,29,11
100,1,8,34
101,1,24,24
102,3,2,12
103,3,26,30
104,3,7,1
105,3,25,20
106,3,24,36
107,1,8,15
108,3,16,1
109,1,7,31
110,1,11,15
111,1,1,6
112,1,18,8
113,1,4,19
114,2,9,1
115,3,28,17
116,2,22,27
117,2,3,5
118,3,8,8
119,3,2,28
120,1,11,12
121,3,11,13
122,1,27,15
123,2,4,6
124,1,1,30
125,3,17,26
126,3,7,20
127,1,24,32
128,1,20,28
129,1,25,18
130,2,10,20
131,2,19,32
132,3,26,26
133,1,28,2
134,3,10,18
135,1,7,7
136,1,29,5
137,3,5,13
138,1,11,26
139,2,9,8
140,2,26,2
141,1,21,26
142,2,19,32
143,2,11,23
144,3,29,14
145,3,24,10
146,2,18,1
147,3,7,6
148,1,22,33
149,1,27,11
150,1,10,1
151,2,30,14
152,3,25,33
153,1,21,19
154,3,19,23
155,1,26,2
156,3,15,3
157,1,24,9
158,3,10,27
159,2,15,15
160,1,28,35
161,2,15,31
162,2,24,21
163,2,19,10
164,3,17,26
165,2,1,14
166,2,9,34
167,2,17,6
168,3,21,28
169,2,14,15
170,1,5,24
171,1,12,8
172,2,23,33
173,2,15,3
174,3,24,21
175,2,3,2
176,1,17,24
177,3,13,14
178,3,14,7
179,1,17,19
180,3,15,19
