171,22,3
143,5,5
35,19,14
10,29,4
79,29,13
167,4,8
70,10,1
84,30,4
155,19,4
172,20,1
74,6,4
103,17,4
163,5,14
44,11,7
83,4,9
162,16,1
66,11,15
131,31,12
71,12,14
31,22,1
98,34,6
35,28,5
117,16,7
21,13,15
159,7,5
148,31,1
55,11,3
64,2,5
63,24,8
155,20,3
145,33,8
90,23,7
54,32,11
24,2,4
178,29,13
176,13,3
85,1,5
86,26,5
179,18,2
33,10,15
71,11,15
167,1,5
164,3,15
180,22,2
88,19,8
17,26,1
54,34,14
56,28,9
148,19,12
101,4,1
153,22,2
142,5,10
92,16,6
68,34,13
64,29,14
33,7,10
14,2,7
129,17,6
179,5,12
83,13,6
178,26,2
6,3,8
129,17,6
56,5,9
28,9,7
99,9,4
17,7,1
145,2,5
90,13,6
179,26,9
155,22,3
23,20,2
121,32,12
44,25,2
100,33,1
161,5,1
149,1,15
3,13,15
134,29,6
60,24,11
19,32,15
55,18,13
86,18,12
144,2,15
156,18,4
84,5,2
96,23,6
68,35,2
48,28,6
168,12,2
33,9,1
88,35,9
76,12,4
57,5,7
140,9,3
109,6,7
88,25,1
130,17,8
98,21,13
81,5,11
110,4,3
84,33,11
52,7,10
178,25,9
122,31,9
161,26,2
59,15,9
35,28,3
103,6,7
52,31,10
21,12,9
37,12,3
102,18,6
10,26,12
122,7,5
65,22,15
70,28,10
149,12,1
13,6,13
18,23,2
6,13,4
172,35,4
104,16,2
81,26,4
176,27,11
49,22,3
153,26,15
82,10,8
80,12,12
165,12,5
167,24,4
50,1,1
7,17,14
65,27,15
145,25,9
132,32,15
149,24,5
54,32,1
111,24,2
108,34,8
63,12,8
124,25,2
37,22,14
37,8,5
14,24,9
4,3,12
24,10,12
131,3,6
177,6,5
137,15,14
172,28,12
139,18,11
54,5,10
86,22,12
21,4,5
43,7,6
16,31,8
131,33,5
107,29,10
7,10,11
100,8,7
22,20,10
25,29,1
56,3,8
43,11,10
54,2,14
94,20,2
96,15,7
174,18,13
83,5,13
107,23,6
53,22,5
43,6,14
92,14,9
165,15,10
104,26,10
107,30,1
6,2,12
39,23,5
9,13,13
75,21,12
115,32,3
161,31,3
7,20,13
48,6,2
75,18,14
39,17,6
74,31,14
41,12,11
52,22,10
37,2,5
101,2,7
142,25,10
61,27,4
142,34,4
14,25,2
18,21,12
58,6,11
116,16,15
144,1,4
46,7,11
90,6,15
171,16,2
30,9,7
159,35,1
164,31,3
33,27,7
158,20,11
110,26,15
20,9,12
142,12,4
113,27,2
44,4,3
24,5,9
35,34,5
164,7,7
121,29,10
89,14,8
77,29,12
159,17,10
141,8,15
19,27,15
155,6,9
167,14,11
145,7,14
127,2,13
125,16,15
144,29,10
158,6,11
130,11,4
34,2,15
38,22,8
120,1,9
104,9,1
171,33,5
125,32,13
135,26,4
86,20,10
132,30,6
2,10,11
169,15,5
142,30,8
35,29,7
128,32,1
23,2,5
94,34,15
16,34,6
146,24,4
34,13,11
129,17,6
128,31,11
78,33,13
98,23,9
6,28,14
62,32,11
67,18,5
165,24,12
163,32,5
84,13,14
117,23,10
165,1,2
148,30,9
58,30,5
140,23,12
105,29,4
46,26,4
114,15,3
8,14,6
92,16,11
128,32,13
114,30,5
111,28,5
87,4,3
145,16,10
169,31,4
158,5,14
22,8,9
94,30,8
169,4,10
162,26,13
60,23,3
48,20,11
28,30,7
143,12,4
80,25,6
68,33,3
92,20,6
133,4,3
52,2,10
44,22,12
45,1,2
32,34,1
148,16,12
105,30,8
131,20,10
118,19,5
31,14,14
14,1,5
166,2,8
68,31,9
