1,1,28,6
2,2,17,12
3,2,2,27
4,2,24,19
5,3,11,24
6,2,1,35
7,1,14,31
8,2,23,15
9,2,14,12
10,1,20,3
11,3,1,18
12,3,19,16
13,1,6,21
14,3,17,25
15,3,1,3
16,2,1,3
17,1,10,35
18,1,11,14
19,3,17,6
20,1,14,8
21,2,29,9
22,1,20,15
23,1,17,2
24,2,11,32
25,1,20,7
26,3,10,26
27,2,5,2
28,3,2,6
29,3,11,21
30,1,22,6
31,2,30,1
32,2,11,17
33,3,29,32
34,3,23,21
35,2,9,26
36,3,5,17
37,2,17,22
38,3,2,14
39,2,14,15
40,3,5,18
41,3,11,30
42,2,8,34
43,2,9,36
44,2,9,7
45,3,29,4
46,2,23,35
47,1,9,26
48,1,1,11
49,1,6,6
50,1,12,28
51,1,24,4
52,2,29,31
53,2,8,12
54,3,11,20
55,1,8,2
56,1,14,17
57,2,27,36
58,1,13,27
59,3,28,28
60,2,3,2
61,1,4,34
62,3,4,18
63,3,26,27
64,1,17,5
65,1,12,11
66,2,15,22
67,2,11,35
68,2,30,34
69,3,7,31
70,3,17,29
71,2,20,17
72,3,3,12
73,1,10,28
74,2,6,8
75,3,3,10
76,1,17,34
77,2,19,25
78,2,23,2
79,3,12,27
80,1,22,16
81,3,2,23
82,1,5,12
83,2,20,29
84,3,29,15
85,3,27,18
86,3,23,14
87,3,12,22
88,2,17,11
89,3,9,19
90,3,24,8
91,2,3,3
92,2,22,27
93,2,18,17
94,3,10,5
95,1,11,5
96,2,14,31
97,1,24,25
98,2,7,6
99,2,9,13
100,3,8,13
101,2,28,11
102,1,3,13
103,3,5,19
104,2,6,26
105,3,26,8
106,1,13,36
107,3,1,3
108,3,7,34
109,3,12,3
110,3,26,6
111,3,24,35
112,1,2,25
113,2,7,33
114,2,11,28
115,1,11,26
116,1,3,1
117,1,26,2
118,1,14,22
119,1,14,30
120,3,21,4
121,3,4,15
122,3,6,12
123,1,12,30
124,2,19,7
125,3,21,7
126,2,22,23
127,2,3,29
128,2,20,14
129,3,10,21
130,2,13,23
131,1,20,33
132,3,10,23
133,2,6,34
134,3,20,35
135,3,14,4
136,1,13,13
137,1,29,30
138,1,4,1
139,2,26,29
140,3,30,3
141,3,13,23
142,2,1,32
143,1,12,34
144,3,18,36
145,2,22,24
146,3,10,6
147,2,17,3
148,2,4,1
149,2,8,14
150,1,19,1
151,2,22,16
152,3,8,16
153,1,30,11
154,2,18,8
155,1,9,26
156,2,16,18
157,3,29,4
158,1,3,13
159,2,29,16
160,3,18,19
161,2,28,29
162,1,15,31
163,3,28,20
164,2,14,3
165,1,26,26
166,2,7,19
167,3,5,3
168,1,18,22
169,2,18,8
170,2,9,1
171,3,22,30
172,2,2,31
173,2,8,10
174,2,30,36
175,3,23,3
176,3,28,22
177,1,20,5
178,3,3,17
179,3,5,3
180,1,10,4
